一	un
二	deux
三	trois
四	quatre
五	cinq
六	six
七	sept
八	huit
九	neuf
十	dix
口	bouche
日	jour
月	mois
田	rizière
目	œil
古	vieux
吾	moi
冒	risque
朋	compagnon
明	clair
唱	chœur
晶	étinceler
品	marchandise
呂	épine dorsale
昌	prospère
早	tôt
旭	soleil levant
世	génération
胃	estomac
旦	point du jour
胆	vésicule biliaire
亘	le temps qui passe
凹	concave
凸	convexe
旧	ancien temps
自	soi-même
白	blanc
百	cent
中	dedans
千	mille
升	boîte mesure
昇	s'élever
舌	langue
丸	arrondi (nombre)
寸	dimension
専	spécialité
博	docteur
占	la bonne aventure
上	au-dessus
下	au-dessous
卓	éminent (doué)
朝	matin
只	le seul
貝	coquillage
員	employé
見	regarder
児	nouveau-né
元	commencement
頁	page
頑	têtu
凡	médiocre
負	porter
万	myriade
句	phrase orale
肌	épiderme
旬	décade
勺	louche
的	cible
首	cou
乙	entrailles de poisson
乱	tumulte
直	droit devant
具	outil
真	exact
工	ingénierie
左	gauche
右	droite
有	posséder
賄	corrompre
貞	intègre
貢	contribution
項	paragraphe
貰	je reçois de toi
刀	épée
刃	lame
切	couper
召	faire venir à soi
昭	briller
則	règlement
副	vice-
別	séparer
丁	pâté de maison
町	quartier
可	possible
頂	placer au sommet
子	enfant
孔	cavité
了	achevé
女	femme
好	aimer
如	paraître
母	maman
貫	percer
兄	frère aîné
克	surmonter
小	petit
少	un petit peu de
大	grand
夕	soirée
多	beaucoup
汐	marée du soir
外	extérieur
名	nom
石	pierre
肖	portrait
硝	nitrate
砕	fracasser
砂	sable
削	rabot
光	rayon
太	gros
器	ustensile
臭	sentir mauvais
妙	bizarre
省	faire le point
県	département
厚	épais
奇	étrange
川	rivière
州	provinces
順	obéir
水	eau
氷	glaçon
永	éternité
泉	fontaine
原	prairie
願	souhait
泳	nager
沼	marécage
沖	grand large
江	crique
汁	soupe
潮	marée du matin
源	source
活	animé
消	éteindre
況	évidemment
河	fleuve
泊	passer la nuit
湖	lac
測	sonder
土	terre
吐	cracher
圧	pression
埼	cap
垣	haie
圭	joyau
封	sceller
涯	horizon
寺	temple bouddhique
時	temps
均	nivelé
火	feu
炎	inflammation
煩	tourment
淡	dilué
灯	lampe
畑	ferme
災	désastre
灰	cendre
点	point
照	illuminer
魚	poisson
漁	halieutique
里	hameau
黒	noir
墨	encre
鯉	carpe
量	quantité
厘	firfelin
埋	enterrer
同	identique
洞	antre
胴	tronc (du corps)
円	cercle
向	éloigné
尚	vénérer
字	caractère
守	garder
完	parfait
宣	proclamer
宵	heure tardive
安	paix
宴	banquet
賓	hôte de marque
寄	s’approcher
富	fortune
貯	économies
木	arbre
林	bois
森	forêt
桂	gainier japonais
柏	chêne
枠	cadre
梢	cime des arbres
棚	étagère
杏	abricot
桐	paulownia
植	planter
枯	dépérir
朴	brut
村	village
相	inter-
机	bureau
本	livre
札	étiquette
暦	calendrier
案	projet
燥	dessécher
染	teindre
未	encore
末	extrémité
沫	écume
味	goût
妹	soeur cadette
朱	vermillon
株	action boursière
若	jeune
草	herbe
苦	souffrir
寛	tolérant
薄	fin (adjectif)
葉	feuille
模	maquette
漠	vague (adjectif)
墓	tombe
暮	mener sa vie
膜	membrane
苗	plant
兆	augures
桃	pêche (le fruit)
眺	dévisager
犬	chien
状	état des choses
黙	silence
然	une certaine chose
荻	roseau commun
狩	chasse
燃	brûler
猫	chat
牛	vache
特	spécial
告	révélation
先	avant
洗	laver
介	immixtion
界	monde
茶	thé
漆	laque
合	correspondre
塔	pagode
王	roi
玉	sphère
宝	trésor
珠	perle
現	le présent
狂	fou
皇	empereur
呈	dévoiler
全	totalité
栓	bouchon
理	logique
主	maître
注	verser
柱	colonne
金	or
銑	gueuse
鉢	bol
銅	cuivre
釣	pêche à la ligne
針	aiguille
銘	inscription
鎮	tranquilliser
道	voie
導	directives
辻	carrefour
迅	vif
造	créer
迫	harceler
逃	s'évader
辺	les environs
巡	patrouille
車	voiture
連	emmener
軌	ornières
輸	transport
前	devant
各	chacun
格	rang
略	abréviation
客	hôtes
額	front
夏	été
処	traiter
条	brindille
落	tomber
冗	superflu
軍	armée
輝	rayonner
運	tranporter
冠	couronne
夢	rêve
坑	fosse
高	haut
享	jouissance
塾	cours du soir
熟	mûrir
亭	pavillon
京	capitale
涼	rafraîchissant
景	paysage
鯨	baleine
舎	chaumière
周	circonférence
週	semaine
士	connaisseur
吉	bonne chance
壮	robuste
荘	villa
売	vendre
学	étudier
覚	mémoriser
栄	florissant
書	écrire
津	havre
牧	élevage
攻	agressif
敗	vaincu
枚	feuille de
故	destin
敬	respect
言	dire
計	planifier
警	avertir
獄	prison
訂	réviser
討	débat
訓	instruction
詔	édit impérial
詰	hermétiquement clos
話	parler
詠	composer un poème
詩	poème
語	langage
読	lire
調	enquête
談	discuter
諾	consentement
諭	conseiller
式	type
試	test
弐	II (deux)
求	réclamer
球	balle
救	sauvetage
域	zone
戝	bandit
栽	plantation
載	charger
茂	pousser dru
成	changer en
城	château
誠	sincérité
威	intimidant
滅	anéantir
減	diminuer
桟	échafaudage
銭	piècette
浅	peu profond
止	arrêter
歩	marcher
渉	gué
頻	sans cesse
肯	accord
企	entreprendre
歴	historique
武	guerrier
賦	prélèvement
正	correct
証	preuve
政	politique
定	déterminé
錠	serrure
走	courrir
超	dépasser
赴	se rendre à
越	doubler
歳	fin d'année
是	comme il faut
題	sujet
堤	digue
建	construire
延	prolonger
誕	nativité
礎	première pierre
婿	fiancé
衣	vêtement
裁	tailleur
装	revêtir
裏	arrière
壊	démolition
哀	pitoyable
遠	loin
猿	singe
初	première fois
布	linge
帆	voile
幅	largeur
帽	casquette
幕	rideaux
幌	capote
錦	brocard
市	marché
姉	sœur aînée
肺	poumon
帯	ceinture
滞	stagner
刺	piquer
制	système
製	fabriqué en
転	rouler
芸	art
雨	pluie
雲	nuage
曇	temps couvert
雷	tonnerre
霜	givre
冬	hiver
天	cieux
橋	pont
嬌	attirant
立	debout
泣	pleurer
章	badge
競	compétition
帝	souverain
童	jeunesse
瞳	pupille
鐘	cloche
商	commerce
嫡	légitime
適	approprié
滴	goutte
敵	ennemi
匕	cuiller
此	ici
頃	époque
北	nord
背	stature
比	comparer
昆	descendant
皆	tout
混	mélanger
渇	soif
謁	audience
褐	brun
喝	gronder
匂	odeur
旨	délicieux
脂	graisse
壱	I (un)
毎	tous les
敏	vivacité d'ésprit
梅	prune
海	mer
乞	mendier
乾	sécheresse
迄	jusqu'à
腹	abdomen
複	duplication
欠	manquer
吹	souffler
炊	cuisiner
歌	chanson
軟	mou
次	suivant
茨	épine
資	capital
姿	figure
諮	consulter
賠	dédommagement
培	culture
剖	disséquer
音	son
暗	obscurité
韻	rime
識	connaissances
鏡	miroir
境	frontière
亡	décéder
盲	aveugle
妄	insensé
荒	brutalité
望	ambition
方	direction
妨	entraver
坊	garçon
芳	parfum
肪	gras
訪	rendre visite
放	libérer
於	dans
激	violent
脱	désabiller
説	thèse
鋭	pointu
曽	anciennement
増	augmenter
贈	cadeau
東	est
棟	faîte
凍	gelé
妊	enceinte
廷	tribunaux
