一	one
二	two
三	three
四	four
五	five
六	six
七	seven
八	eight
九	nine
十	ten
百	hundred
千	thousand
万	ten thousand
億	hundred million
兆	portent
円	circle
時	time
寺	Buddhist temple
日	day
月	month
火	fire
水	water
木	tree
金	gold
土	soil
曜	weekday
週	week
年	year
分	part
何	what
先	before
今	now
来	come
行	going
帰	homecoming
大	large
中	in
小	little
少	few
多	many
上	above
下	below
右	right
左	left
方	direction
人	person
入	enter
出	exit
外	outside
内	inside
本	book
休	rest
体	body
力	power
協	co-
目	eye
口	mouth
耳	ear
手	hand
足	leg
山	mountain
川	stream
空	empty
海	sea
毎	every
石	stone
田	rice field
花	flower
林	grove
森	forest
男	male
女	woman
子	child
供	submit
好	fond
私	private
友	friend
達	accomplished
家	house
客	guest
元	beginning
天	heavens
気	spirit
雨	rain
雪	snow
青	blue
晴	clear up
明	bright
暗	darkness
昨	yesterday
東	east
西	west
南	south
北	north
向	yonder
門	gates
開	open
閉	closed
聞	hear
間	interval
高	tall
安	relax
低	lower
最	utmost
初	first time
前	in front
後	behind
午	noon
牛	cow
半	half
朝	morning
昼	daytime
晩	nightfall
夜	night
夕	evening
食	eat
飲	drink
飯	meal
買	buy
見	see
言	say
話	tale
読	read
語	word
英	England
文	sentence
字	character
漢	Sino-
書	write
覚	memorize
会	meeting
合	fit
社	company
員	employee
満	full
仕	attend
事	matter
故	happenstance
工	craft
場	location
電	electricity
車	car
駅	station
交	mingle
通	traffic
道	road-way
路	path
地	ground
図	map
他	other
止	stop
歩	walk
走	run
渡	transit
度	degrees
近	near
遠	distant
長	long
短	short
広	wide
全	whole
部	section
国	country
世	generation
界	world
白	white
黒	black
赤	red
銀	silver
鉄	iron
肉	meat
魚	fish
野	plains
菜	vegetable
屋	roof
米	rice
茶	tea
味	flavor
未	not yet
末	extremity
料	fee
理	logic
解	unravel
有	possess
無	nothingness
作	make
使	use
用	utilize
費	expense
消	extinguish
売	sell
店	store
商	make a deal
品	goods
販	marketing
階	story
段	grade
値	price
価	value
格	status
春	springtime
夏	summer
秋	autumn
冬	winter
季	seasons
暑	sultry
熱	heat
寒	cold
暖	warmth
温	warm
台	pedestal
風	wind
情	feelings
報	report
告	revelation
新	new
古	old
昔	once upon a time
良	good
悪	bad
心	heart
思	think
忘	forget
考	consider
決	decide
知	know
才	genius
能	ability
可	can
不	negative
郵	mail
便	convenience
局	bureau
番	turn
号	nickname
住	dwell
所	place
氏	family name
名	name
各	each
県	prefecture
市	market
町	village
村	town
区	ward
丁	street
京	capital
都	metropolis
様	Esq.
御	honorable
荷	baggage
物	thing
重	heavy
軽	lightly
量	quantity
配	distribute
送	send off
受	accept
取	take
届	deliver
待	wait
持	hold
打	strike
投	throw
役	duty
生	life
性	sex
産	products
活	lively
徒	junior
学	study
校	exam
教	teach
育	bring up
制	system
勉	exertion
強	strong
弱	weak
引	pull
押	push
練	practice
習	learn
慣	accustomed
研	polish
究	research
試	test
験	verification
質	substance
問	question
題	topic
簡	simplicity
単	simple
複	duplicate
雑	miscellaneous
難	difficult
点	spot
数	number
回	-times
個	individual
枚	sheet of
勝	victory
負	defeat
担	shouldering
当	hit
然	sort of thing
法	method
律	rhythm
規	standard
則	rule
施	alms
経	sutra
済	finish
営	occupation
株	stocks
式	style
企	undertake
業	profession
利	profit
益	benefit
収	income
技	skill
術	art
芸	technique
製	made in...
造	create
必	invariably
要	need
求	request
請	solicit
額	forehead
計	plot
算	calculate
差	distinction
割	proportion
残	remainder
支	branch
払	pay
返	return
借	borrow
貸	lend
申	speaketh
込	crowded
期	period
限	limit
急	hurry
切	cut
符	token
券	ticket
賃	fare
代	substitute
指	finger
定	determine
予	beforehand
約	promise
束	bundle
変	unusual
化	change
更	grow late
増	increase
減	dwindle
乗	ride
降	descend
着	don
脱	undress
税	tax
立	stand up
座	sit
席	seat
欠	lack
次	next
運	carry
転	revolve
移	shift
動	move
働	work
早	early
速	quick
遅	slow
始	commence
終	end
現	present
在	exist
実	reality
過	overdo
去	gone
発	discharge
表	surface
紙	paper
絵	picture
誌	document
音	sound
楽	music
薬	medicine
歌	song
欲	longing
映	reflect
画	brush stroke
面	mask
写	copy
真	TRUE
色	color
形	shape
型	mould
種	species
類	sort
直	straightaway
接	touch
線	line
角	angle
曲	bend
共	together
同	same
違	difference
似	similar
以	by means of
旅	trip
館	Bldg.
宿	inn
泊	overnight
遊	play
和	harmony
洋	ocean
服	clothing
室	room
窓	window
父	father
母	mama
親	parent
族	tribe
歳	year-end
姉	elder sister
妹	younger sister
兄	elder brother
弟	younger brother
第	No.
娘	daughter
息	breath
若	young
者	someone
彼	he
結	tie
婚	marriage
果	fruit
課	chapter
効	merit
自	oneself
由	wherefore
信	faith
依	reliant
頼	trust
民	people
主	lord
義	righteousness
議	deliberation
論	argument
賛	approve
反	anti-
対	vis-a-vis
応	apply
答	solution
特	special
別	separate
専	specialty
般	carrier
的	bull's eye
普	universal
並	row
平	even
均	level
等	etc.
病	ill
院	Inst.
医	doctor
歯	tooth
科	department
死	death
亡	deceased
忙	busy
疲	tired
痛	pain
禁	prohibition
煙	smoke
酒	sake
酔	drunk
杯	cupfuls
危	dangerous
険	precipitous
保	protect
証	evidence
存	suppose
注	pour
意	idea
確	assurance
認	acknowledge
率	ratio
機	mechanism
械	contraption
器	utensil
材	lumber
具	tool
基	fundamentals
準	semi-
備	equip
設	establishment
説	rumor
公	public
園	park
祭	ritual
察	guess
際	occasion
飛	fly
航	navigate
船	ship
港	harbor
島	island
完	perfect
成	turn into
功	achievement
失	lose
敗	failure
原	meadow
因	cause
資	assets
源	source
願	petition
正	correct
異	uncommon
常	usual
識	discriminating
非	un-
調	tune
整	organize
節	node
査	investigate
検	examination
提	propose
案	plan
示	show
票	ballot
標	signpost
連	take along
絡	entwine
続	continue
相	inter-
談	discuss
記	scribe
憶	recollection
録	record
登	ascend
秒	second
関	connection
係	person in charge
状	status quo
況	but of course
態	attitude
政	politics
治	reign
府	municipality
党	party
策	scheme
選	elect
挙	raise
択	choose
候	climate
補	supplement
首	neck
脳	brain
悩	trouble
頭	head
顔	face
改	reformation
革	leather
命	fate
令	orders
領	jurisdiction
組	association
織	weave
進	advance
推	conjecture
拡	broaden
責	blame
任	responsibility
辞	resign
委	committee
託	consign
勤	diligence
務	task
従	accompany
雇	employ
績	exploits
募	recruit
集	gather
採	pick
給	salary
需	demand
卒	graduate
就	concerning
職	post
退	retreat
屈	yield
契	pledge
渉	ford
妥	gentle
条	twig
件	affair
参	visit
惨	wretched
加	add
追	chase
盟	alliance
比	compare
較	contrast
批	criticism
判	judgment
評	evaluate
感	emotion
想	concept
像	statue
象	elephant
抽	pluck
障	hinder
修	discipline
傷	wound
換	interchange
替	exchange
災	disaster
害	harm
被	incur
破	rend
壊	demolition
救	salvation
助	help
援	abet
派	faction
遣	dispatch
警	admonish
官	bureaucrat
管	pipe
犯	crime
罪	guilt
盗	steal
殺	kill
奪	rob
逮	apprehend
捕	catch
逃	escape
挑	challenge
戦	war
争	contend
競	vie
混	mix
乱	riot
紛	distract
統	overall
総	general
探	grope
捜	search
捨	discard
拾	pick up
索	cord
湖	lake
池	pond
深	deep
浅	shallow
落	fall
泳	swim
波	waves
流	current
洪	deluge
崩	crumble
洗	wash
油	oil
浮	floating
沈	sink
没	drown
将	leader
永	eternity
久	long time
氷	icicle
河	river
冷	cool
凍	frozen
庫	warehouse
蔵	storehouse
臓	entrails
快	cheerful
適	suitable
摘	pinch
涼	refreshing
湿	damp
汚	dirty
染	dye
排	repudiate
廃	abolish
棄	abandon
景	scenery
影	shadow
響	echo
環	ring
境	boundary
観	outlook
光	ray
測	fathom
太	plump
陽	sunshine
宇	eaves
宙	mid-air
星	star
衛	defense
球	ball
雲	cloud
曇	cloudy weather
震	quake
振	shake
揺	swing
神	gods
秘	secret
密	secrecy
精	refined
厳	stern
貴	precious
遺	bequeath
跡	tracks
奇	strange
寄	draw near
歴	curriculum
史	history
紀	chronicle
王	king
宝	treasure
建	build
築	fabricate
構	posture
橋	bridge
柱	pillar
位	rank
置	placement
距	long-distance
離	detach
停	halt
周	circumference
辺	environs
囲	surround
範	pattern
隣	neighboring
黄	yellow
横	sideways
断	severance
継	inherit
幅	hanging scroll
欧	Europe
州	state
陸	land
極	poles
端	edge
訪	call on
房	tassel
諸	various
緒	thong
緑	green
貨	freight
貿	trade
易	easy
輸	transport
輪	wheel
往	journey
復	restore
繰	winding
操	maneuver
縦	vertical
渋	astringent
滞	stagnate
帯	sash
携	portable
併	join
留	detain
守	guard
宅	home
宛	address
戻	re-
起	rouse
寝	lie down
静	quiet
暇	spare time
趣	gist
両	both
片	one-sided
側	side
裏	back
項	paragraph
印	stamp
刷	printing
刊	publish
冊	tome
版	printing block
詳	detailed
細	dainty
掲	put up a notice
載	load
積	volume
翻	flip
訳	translate
誤	mistake
訂	revise
討	chastise
塗	paint
添	annexed
付	adhere
属	belong
貼	affix
省	focus
略	abbreviation
概	outline
念	wish
含	include
順	obey
序	preface
逆	inverted
列	file
例	example
余	too much
途	route
除	exclude
削	plane
剰	surplus
即	instant
既	previously
刻	engrave
締	tighten
緩	slacken
栄	flourish
養	foster
豊	bountiful
富	wealth
副	vice-
苦	suffering
労	labor
困	quandary
貧	poverty
乏	destitution
甘	sweet
辛	spicy
幸	happiness
福	blessing
祉	welfare
塩	salt
砂	sand
糖	sugar
漠	vague
模	imitation
農	agriculture
濃	concentrated
漁	fishing
薄	dilute
厚	thick
圧	pressure
迫	urge
縮	shrink
伸	expand
倍	double
超	transcend
越	surpass
抜	slip out
昇	rise up
膨	swell
札	tag
礼	salutation
謝	apologize
射	shoot
程	extent
優	tenderness
秀	excel
透	transparent
誘	entice
導	guidance
希	hope
望	ambition
志	intention
努	toil
怒	angry
独	single
身	somebody
占	fortune-telling
拠	foothold
処	dispose
仲	go-between
介	jammed in
紹	introduce
招	beckon
照	illuminate
夫	husband
婦	lady
妻	wife
奥	core
互	mutually
皆	all
我	ego
誰	who?
齢	age
籍	enroll
愛	love
恋	romance
誕	nativity
延	prolong
祝	celebrate
純	genuine
粋	chic
夢	dream
錯	confused
慎	humility
泣	cry
涙	tears
笑	laugh
喜	rejoice
恥	shame
弁	valve
護	safeguard
士	gentleman
看	watch over
患	afflicted
肯	agreement
否	negate
述	mention
裁	tailor
訴	accusation
迷	astray
惑	beguile
域	range
疑	doubt
謎	riddle
著	renowned
権	authority
侵	encroach
偽	falsehood
為	do
贈	presents
賠	compensation
償	reparation
賞	prize
与	bestow
財	property
貯	savings
預	deposit
融	dissolve
隔	isolate
了	complete
承	acquiesce
納	settlement
得	gain
損	damage
燃	burn
焼	bake
燥	parch
乾	drought
幹	tree trunk
酸	acid
素	elementary
炭	charcoal
岩	boulder
岸	beach
庭	courtyard
桜	cherry tree
咲	blossom
吹	blow
散	scatter
植	plant
根	root
板	plank
草	grass
葉	leaf
呼	call
吸	suck
及	reach out
扱	handle
級	class
胸	bosom
腹	abdomen
腰	loins
肺	lungs
胃	stomach
皿	dish
血	blood
液	fluid
溶	melt
容	contain
背	stature
骨	skeleton
滑	slippery
折	fold
析	chop
健	healthy
康	sane
診	checkup
珍	rare
療	heal
毒	poison
菌	germ
症	symptoms
清	pure
潔	undefiled
監	oversee
督	coach
撮	snapshot
描	sketch
躍	leap
再	again
編	compilation
放	set free
視	inspection
聴	listen
衣	garment
装	attire
仮	provisional
鏡	mirror
銅	copper
演	performance
劇	drama
悲	sad
団	group
固	harden
美	beauty
博	Dr.
展	unfold
催	sponsor
促	stimulate
典	code
殊	particularly
徴	indications
微	delicate
妙	exquisite
免	excuse
許	permit
訓	instruction
詞	parts of speech
司	director
購	subscription
講	lecture
師	expert
授	impart
伝	transmit
鳥	bird
鳴	chirp
声	voice
卵	egg
匹	equal
犬	dog
馬	horse
駐	parking
騒	boisterous
飼	domesticate
刺	thorn
激	violent
興	entertain
奮	stirred up
驚	wonder
至	climax
致	doth
到	arrival
倒	overthrow
債	bond
